nat_demand,holiday,school,avg_T2M,avg_QV2M,avg_TQL,avg_W2M,season,month,day_of_week,hour_of_day,is_weekend,year,nat_demand_1hr_lag,nat_demand_24hr_lag,nat_demand_1week_lag
1055.2315,0,0,23.818190511067737,0.015413918333333332,0.047370910999999995,12.63617505410064,0,2,1,2,0,2019,1093.5065,1055.5132,1042.5132
1017.2131,0,0,23.606795247395855,0.015278974666666667,0.04327519733333333,12.47896959649619,0,2,1,3,0,2019,1055.2315,1042.8195,1018.2824
993.2274,0,0,23.420556640625023,0.015190286000000002,0.039333343,12.962484381166393,0,2,1,4,0,2019,1017.2131,1030.2582,1003.9042
1024.4643,0,0,23.286279296875023,0.015135216666666666,0.03534475993333333,13.67910481183956,0,2,1,5,0,2019,993.2274,1048.8951,1013.8154
1035.2039,0,0,23.2448669433594,0.015097025,0.032588321999999996,14.240375813191216,0,2,1,6,0,2019,1024.4643,1069.3811999999998,1031.892
1147.7218,0,0,24.091119384765648,0.015041179500000001,0.03382492,16.616745163247717,0,2,1,7,0,2019,1035.2039,1170.9028,1141.5115999999998
1292.7812,0,0,25.725569661458355,0.014718310666666665,0.034934998,19.088553760741956,0,2,1,8,0,2019,1147.7218,1342.4276,1294.3542
1398.9347,0,0,27.73257853190107,0.014159351833333333,0.031793594333333335,19.518716336180763,0,2,1,9,0,2019,1292.7812,1428.2656,1381.952
1479.6488,0,0,29.422774251302105,0.013756126,0.027177492933333335,18.837298120535976,0,2,1,10,0,2019,1398.9347,1513.2006,1462.5092000000002
1513.8973,0,0,30.63531901041669,0.013627304666666666,0.025166511699999995,17.59124594908751,0,2,1,11,0,2019,1479.6488,1555.3402999999998,1511.2483000000002
1521.291,0,0,31.405623372395855,0.013622706,0.027260303233333335,16.40441059102951,0,2,1,12,0,2019,1513.8973,1559.6596,1503.6826
1557.4095,0,0,31.791487630208355,0.013532046666666667,0.03214295773333333,15.607477237723193,0,2,1,13,0,2019,1521.291,1570.8886,1549.6957
1558.8976,0,0,31.725946044921898,0.013443338333333332,0.03690528866666667,15.106448814153316,0,2,1,14,0,2019,1557.4095,1564.8168,1567.6766
1542.182,0,0,31.181726074218773,0.013449293,0.03954951066666667,14.833489706842135,0,2,1,15,0,2019,1558.8976,1532.4743,1538.9256
1450.0547,0,0,30.16296793619794,0.013541010666666667,0.037549336999999995,14.964896982410009,0,2,1,16,0,2019,1542.182,1476.4022,1455.6475
1325.635,0,0,28.657261149088566,0.013759577,0.036313375333333335,15.25734762225148,0,2,1,17,0,2019,1450.0547,1357.7824,1337.6247999999998
1319.3374,0,0,26.912194824218773,0.014287680333333335,0.040827433333333336,14.829994000935168,0,2,1,18,0,2019,1325.635,1335.5947,1312.868
1367.4753,0,0,25.739546712239612,0.014690714,0.04848988866666667,14.529650318197719,0,2,1,19,0,2019,1319.3374,1376.1281,1377.7094
1343.7686,0,0,25.126519775390648,0.015053099666666667,0.05004119866666667,13.85940215075624,0,2,1,20,0,2019,1367.4753,1345.9118,1331.6517
1317.0128,0,0,24.82025553385419,0.015245728666666666,0.053446451000000006,13.251297134243766,0,2,1,21,0,2019,1343.7686,1295.2858,1305.5464000000002
1263.9485,0,0,24.613692220052105,0.015374230666666667,0.05351130133333334,13.011934093941719,0,2,1,22,0,2019,1317.0128,1261.3249999999998,1270.1955
1199.0981000000002,0,0,24.455407714843773,0.015442470333333333,0.06144714399999999,12.973133531597801,0,2,1,23,0,2019,1263.9485,1196.4639,1189.0448
1131.5016,0,0,24.28803914388023,0.015485859166666666,0.061543782666666665,12.913736661038454,0,2,2,0,0,2019,1199.0981000000002,1133.3471,1129.7731
1083.4493,0,0,24.121301269531276,0.015550058,0.059794107333333325,12.83754662042709,0,2,2,1,0,2019,1131.5016,1093.5065,1084.8666
1047.8958,0,0,23.993188476562523,0.015614666,0.06143951466666667,12.768516664127338,0,2,2,2,0,2019,1083.4493,1055.2315,1040.1166
1014.3212,0,0,23.924920654296898,0.015666426,0.06319936066666666,12.83129598477533,0,2,2,3,0,2019,1047.8958,1017.2131,1014.3026
1017.7761,0,0,23.86383463541669,0.015749152166666665,0.06043243533333333,12.561785466078632,0,2,2,4,0,2019,1014.3212,993.2274,992.9688
1031.9236,0,0,23.80830281575523,0.015841834333333336,0.05514780566666667,12.138181773742417,0,2,2,5,0,2019,1017.7761,1024.4643,997.4494
1039.9613,0,0,23.829522705078148,0.015868260999999998,0.05520884300000001,12.037429792373635,0,2,2,6,0,2019,1031.9236,1035.2039,1005.4397
1105.5521,0,0,24.646997070312523,0.015767818,0.052288054333333334,13.53812894549163,0,2,2,7,0,2019,1039.9613,1147.7218,1117.7409
1279.946,0,0,26.344049072265648,0.015358633666666665,0.048409780000000006,14.830170552689175,0,2,2,8,0,2019,1105.5521,1292.7812,1266.652
1376.816,0,0,28.263574218750023,0.014849972000000001,0.04213809966666667,14.45400253682485,0,2,2,9,0,2019,1279.946,1398.9347,1374.0452
1461.2176000000002,0,0,29.944635009765648,0.014496015666666667,0.03370022773333333,13.117860082705553,0,2,2,10,0,2019,1376.816,1479.6488,1454.2297
1500.3935,0,0,31.25916951497398,0.014331545333333334,0.030481297923333334,11.583529230349912,0,2,2,11,0,2019,1461.2176000000002,1513.8973,1508.0993
1516.4032,0,0,32.23660685221356,0.014087579333333334,0.028190275883333334,10.495128950599335,0,2,2,12,0,2019,1500.3935,1521.291,1522.9712
1537.5163,0,0,32.72224324544273,0.013988261,0.03443837157333333,9.902574715509173,0,2,2,13,0,2019,1516.4032,1557.4095,1546.9048
1544.1781,0,0,32.7590270996094,0.013816536999999999,0.04119459686666667,9.889504773713773,0,2,2,14,0,2019,1537.5163,1558.8976,1562.7804999999998
1516.0183000000002,0,0,32.23476562500002,0.013786537833333333,0.048695244666666665,10.480390551040118,0,2,2,15,0,2019,1544.1781,1542.182,1548.6402
1423.6481,0,0,31.154382324218773,0.014000893666666667,0.060606003666666665,11.295873804634695,0,2,2,16,0,2019,1516.0183000000002,1450.0547,1482.2672
1315.7629000000002,0,0,29.542036946614612,0.014381805,0.06418164446666667,11.953987045356854,0,2,2,17,0,2019,1423.6481,1325.635,1358.1181
1302.8792,0,0,27.639621988932316,0.014846491999999998,0.064435323,12.03654245442798,0,2,2,18,0,2019,1315.7629000000002,1319.3374,1319.2587
1344.6948,0,0,26.318882242838566,0.015166453333333335,0.05759302733333333,12.313241590312176,0,2,2,19,0,2019,1302.8792,1367.4753,1401.2382
1322.3815000000002,0,0,25.596765136718773,0.015330521500000001,0.0455888098,11.917145028613264,0,2,2,20,0,2019,1344.6948,1343.7686,1379.9735999999998
1274.4639,0,0,25.124627685546898,0.015430306333333331,0.042334874999999994,11.420548062181986,0,2,2,21,0,2019,1322.3815000000002,1317.0128,1336.6965
1230.8693,0,0,24.74134724934898,0.015502219333333336,0.04249668139999999,11.288372044255512,0,2,2,22,0,2019,1274.4639,1263.9485,1294.8378
1167.3914,0,0,24.412876383463566,0.015542506,0.04027175993333334,11.463482326400277,0,2,2,23,0,2019,1230.8693,1199.0981000000002,1223.7813
1105.6927,0,0,24.134200032552105,0.015540860999999998,0.03794479333333333,11.625482787995287,0,2,3,0,0,2019,1167.3914,1131.5016,1168.7162
1062.6667,0,0,23.907922363281276,0.015516979,0.0378964742,11.771897740116723,0,2,3,1,0,2019,1105.6927,1083.4493,1117.4687
1029.0728,0,0,23.732263183593773,0.015498716000000001,0.040330251000000004,11.954906215790196,0,2,3,2,0,2019,1062.6667,1047.8958,1080.5467
1003.0469,0,0,23.616377766927105,0.015497308333333334,0.04155731233333333,12.122866261910474,0,2,3,3,0,2019,1029.0728,1014.3212,1045.6382
988.9187,0,0,23.502984619140648,0.015500060666666668,0.042856853,11.549549011915028,0,2,3,4,0,2019,1003.0469,1017.7761,1033.3042
1012.2364,0,0,23.346368408203148,0.015507130166666667,0.04279073,10.463296534108656,0,2,3,5,0,2019,988.9187,1031.9236,1010.3796
